=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
			CodeExpenseType.APExportTax3Number	AP Export Tax #3	True	Enter the account number for your accounts payable export taxes.	Enter the account number for your accounts payable export taxes.
			CodeExpenseType.APExportTax4Number	AP Export Tax #4	True	Enter the account number for your accounts payable export taxes.	Enter the account number for your accounts payable export taxes.
			CodeExpenseType.CodeASC842ScheduleID	ASC 842 Schedule	True	The ASC 842 Schedule field is where you select the ASC 842 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.	The ASC 842 Schedule field is where you select the ASC 842 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.
			CodeExpenseType.LongDescription	Description	False	Write a description of the record.	Write a description of the record.
			CodeExpenseType.ExpAccrualAcct1Number	Expense Accrual Acct #1	True	Enter the account number for your expense accruals.	Enter the account number for your expense accruals.
			CodeExpenseType.ExpAccrualAcct2Number	Expense Accrual Acct #2	True	Enter the account number for your expense accruals.	Enter the account number for your expense accruals.
			CodeExpenseType.ExpAccrualAcct3Number	Expense Accrual Acct #3	True	Enter the account number for your expense accruals.	Enter the account number for your expense accruals.
			CodeExpenseType.ExpAccrualAcct4Number	Expense Accrual Acct #4	True	Enter the account number for your expense accruals.	Enter the account number for your expense accruals.
			CodeExpenseType.CodeExpenseCategoryID	Expense Category	True	This setting links this expense type to a particular expense category.	This setting links this expense type to a particular expense category.
			CodeExpenseType.CodeID	Expense Type RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			CodeExpenseType.CodeIFRS16ScheduleID	IFRS 16 Schedule	True	The IFRS 16 Schedule field is where you select the IFRS 16 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.	The IFRS 16 Schedule field is where you select the IFRS 16 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.
			CodeExpenseType.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			CodeExpenseType.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			CodeExpenseType.ShortName	Name	True	Enter a name for the record type.	Enter a name for the record type.
			CodeExpenseType.ParentID	Parent Expense Group	True	This field contains a Base Entity System Identifier for the expense group of this expense type. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for the expense group of this expense type. It is assigned automatically by the system, and is not editable.
			CodeExpenseType.ParentCodeExpenseGroupID	Parent Group	True	Select the expense group that this expense type should be associated with. Groups are parents to types.	Select the expense group that this expense type should be associated with. Groups are parents to types.
			CodeExpenseType.PercentRentAccrualAcct1Number	Percent Rent Accrual Acct #1	True	Enter the account number for your percent rent accruals.	Enter the account number for your percent rent accruals.
			CodeExpenseType.PercentRentAccrualAcct2Number	Percent Rent Accrual Acct #2	True	Enter the account number for your percent rent accruals.	Enter the account number for your percent rent accruals.
			CodeExpenseType.PercentRentAccrualAcct3Number	Percent Rent Accrual Acct #3	True	Enter the account number for your percent rent accruals.	Enter the account number for your percent rent accruals.
			CodeExpenseType.PercentRentAccrualAcct4Number	Percent Rent Accrual Acct #4	True	Enter the account number for your percent rent accruals.	Enter the account number for your percent rent accruals.
			CodeExpenseType.RETaxAccrualAcct1Number	RE Tax Accrual Acct #1	True	Enter the account number for your real estate tax accruals.	Enter the account number for your real estate tax accruals.
			CodeExpenseType.RETaxAccrualAcct2Number	RE Tax Accrual Acct #2	True	Enter the account number for your real estate tax accruals.	Enter the account number for your real estate tax accruals.
			CodeExpenseType.RETaxAccrualAcct3Number	RE Tax Accrual Acct #3	True	Enter the account number for your real estate tax accruals.	Enter the account number for your real estate tax accruals.
			CodeExpenseType.RETaxAccrualAcct4Number	RE Tax Accrual Acct #4	True	Enter the account number for your real estate tax accruals.	Enter the account number for your real estate tax accruals.
			CodeExpenseType.CodeSLScheduleID	Straight-Line Schedule	True	The Straight-Line Schedule field is where you select the Straight Line schedule you want to associate with a record. 	The Straight-Line Schedule field is where you select the Straight Line schedule you want to associate with a record. 
		Expense Vendor Allocation					
			ExpenseVendorAllocation.APVendorNumber	AP Vendor Number	False	The vendor number from the associated vendor record.	The vendor number from the associated vendor record.
			ExpenseVendorAllocation.BeginDate	Begin Date	True	The Begin Date field allows you to select a begin date for the record.	The Begin Date field allows you to select a begin date for the record.
			ExpenseVendorAllocation.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.
			ExpenseVendorAllocation.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			ExpenseVendorAllocation.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			ExpenseVendorAllocation.EndDate	End Date	True	The End Date field allows you to select an end date for the record.	The End Date field allows you to select an end date for the record.
			ExpenseVendorAllocation.ExpenseSetupID	Expense Setup	True	The ExpenseSetupID field is used to associate an expense vendor allocation with an expense setup record.	The ExpenseSetupID field is used to associate an expense vendor allocation with an expense setup record.
			ExpenseVendorAllocation.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			ExpenseVendorAllocation.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			ExpenseVendorAllocation.Notes	Notes	False	Add any notes about the record.	Add any notes about the record.
			ExpenseVendorAllocation.PaymentPercentage	Payment Percentage	True	Enter the allocation percentage in this field.  Your vendor allocations must total 100%. However, if two vendors are entered with both vendors having an allocation of 100%, both vendors will be paid 100%. Allocations are processed in order from largest to smallest. The smallest allocation will receive what remains of a payment. This means that it is very important that vendor allocations are entered correctly. For example, if two vendors have been entered as having a 60-50 split when the allocation should have been 50-50, the first vendor would be paid 60%, while the second would be paid 40%. If a vendor allocation does not exist, transactions will still be generated with an empty Vendor field. Any changes to the vendor allocation will set current and future expense schedule statuses to Review. They will need to be approved using the Approvals Process procedures.	Enter the allocation percentage in this field.  Your vendor allocations must total 100%. However, if two vendors are entered with both vendors having an allocation of 100%, both vendors will be paid 100%. Allocations are processed in order from largest to smallest. The smallest allocation will receive what remains of a payment. This means that it is very important that vendor allocations are entered correctly. For example, if two vendors have been entered as having a 60-50 split when the allocation should have been 50-50, the first vendor would be paid 60%, while the second would be paid 40%. If a vendor allocation does not exist, transactions will still be generated with an empty Vendor field. Any changes to the vendor allocation will set current and future expense schedule statuses to Review. They will need to be approved using the Approvals Process procedures.
			ExpenseVendorAllocation.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			ExpenseVendorAllocation.VendorID	Vendor	True	Select the vendor who should be paid from this field.	Select the vendor who should be paid from this field.
			ExpenseVendorAllocation.BOMapClientRecordID	Vendor Allocation ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			ExpenseVendorAllocation.ExpenseVendorAllocationID	Vendor Allocation RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
		Financial - Calendar					
			Contract.AggregateBaseRent	Aggregate Base Rent	False	This is a reporting field. The total of base rent with no tax where expense category is either "Rent" or "Lease Payment" between the computed payment begin date and the likely payment end date.	This is a reporting field. The total of base rent with no tax where expense category is either "Rent" or "Lease Payment" between the computed payment begin date and the likely payment end date.
			Contract.AggregateTotalRent	Aggregate Total Rent	False	This is a reporting field. The total of base rent with no tax for all expense categories between the computed payment begin date and the likely payment end date.	This is a reporting field. The total of base rent with no tax for all expense categories between the computed payment begin date and the likely payment end date.
			Contract.BeyondFifthYearBaseRent	Beyond Fifth Calendar Year Base Rent	False	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past four years after the current year.	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past four years after the current year.
			Contract.BeyondFifthYearTotalRent	Beyond Fifth Calendar Year Total Rent	False	This is a reporting field. This field sums the total base rent without tax for each calendar year past four years after the current year.	This is a reporting field. This field sums the total base rent without tax for each calendar year past four years after the current year.
			Contract.BeyondSixthYearBaseRent	Beyond Sixth Calendar Year Base Rent	False	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past five years after the current year.	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past five years after the current year.
			Contract.BeyondSixthYearTotalRent	Beyond Sixth Calendar Year Total Rent	False	This is a reporting field. This field sums the total base rent without tax for each calendar year past five years after the current year.	This is a reporting field. This field sums the total base rent without tax for each calendar year past five years after the current year.
			Contract.CurrentAnnualBaseRent	Current Annual Calendar Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the current calendar year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the current calendar year.
			Contract.CurrentAnnualTotalRent	Current Annual Calendar Total Rent	True	This field appears on the Contract > Details > Summary page. It calculates the sum of your annual recurring expenses.	This field appears on the Contract > Details > Summary page. It calculates the sum of your annual recurring expenses.
			Contract.CurrentCalendarYearQ1BaseRent	Current Calendar Q1 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 1st Quarter in the calendar year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 1st Quarter in the calendar year.
			Contract.CurrentCalendarYearQ1TotalRent	Current Calendar Q1 Total Rent	False	This is a reporting field. The total base rent without tax for the 1st Quarter in the calendar year.	This is a reporting field. The total base rent without tax for the 1st Quarter in the calendar year.
			Contract.CurrentCalendarYearQ2BaseRent	Current Calendar Q2 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 2nd Quarter in the calendar year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 2nd Quarter in the calendar year.
			Contract.CurrentCalendarYearQ2TotalRent	Current Calendar Q2 Total Rent	False	This is a reporting field. The total base rent without tax for the 2nd Quarter in the calendar year.	This is a reporting field. The total base rent without tax for the 2nd Quarter in the calendar year.
			Contract.CurrentCalendarYearQ3BaseRent	Current Calendar Q3 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 3rd Quarter in the calendar year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 3rd Quarter in the calendar year.
			Contract.CurrentCalendarYearQ3TotalRent	Current Calendar Q3 Total Rent	False	This is a reporting field. The total base rent without tax for the 3rd Quarter in the calendar year.	This is a reporting field. The total base rent without tax for the 3rd Quarter in the calendar year.
			Contract.CurrentCalendarYearQ4BaseRent	Current Calendar Q4 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 4th Quarter in the calendar year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 4th Quarter in the calendar year.
			Contract.CurrentCalendarYearQ4TotalRent	Current Calendar Q4 Total Rent	False	This is a reporting field. The total base rent without tax for the 4th Quarter in the calendar year.	This is a reporting field. The total base rent without tax for the 4th Quarter in the calendar year.
			Contract.CurrentCalendarYearGrossSales	Current Calendar Year Gross Sales	False	This is a reporting field. The total sales for the current calendar year.	This is a reporting field. The total sales for the current calendar year.
			Contract.CurrentMonthlyBaseRent	Current Monthly Base Rent	False	The current monthly rent without taxes.	The current monthly rent without taxes.
			Contract.CurrentMonthlyTotalRent	Current Monthly Total Rent	True	This field appears on the Contract > Details > Summary page. It calculates the sum of your monthly recurring expenses.	This field appears on the Contract > Details > Summary page. It calculates the sum of your monthly recurring expenses.
			Contract.CurrentStraightLineAssetBalance	Current Straight Line Asset Balance	False	The asset balance value from the first active period.	The asset balance value from the first active period.
			Contract.CurrentStraightLineLiabilityBalance	Current Straight Line Liability Balance	False	The liability balance value from the first active period.	The liability balance value from the first active period.
			Contract.FifthYearBaseRent	Fifth Calendar Year Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year four years after the current year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year four years after the current year.
			Contract.FifthYearTotalRent	Fifth Calendar Year Total Rent	False	This is a reporting field. The total base rent without tax for the calendar year four years after the current year.	This is a reporting field. The total base rent without tax for the calendar year four years after the current year.
			Contract.FourthYearBaseRent	Fourth Calendar Year Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year three years after the current year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year three years after the current year.
			Contract.FourthYearTotalRent	Fourth Calendar Year Total Rent	False	This is a reporting field. The total base rent without tax for the calendar year three years after the current year.	This is a reporting field. The total base rent without tax for the calendar year three years after the current year.
			Contract.NextYearBaseRent	Next Calendar Year Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the next calendar year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the next calendar year.
			Contract.NextYearTotalRent	Next Calendar Year Total Rent	False	This is a reporting field. The total base rent without tax for the next calendar year.	This is a reporting field. The total base rent without tax for the next calendar year.
			Contract.PriorCalendarYearGrossSales	Prior Calendar Year Gross Sales	True	The annual sales from the current calendar year OR the start date of the report.	The annual sales from the current calendar year OR the start date of the report.
			Contract.RemainingObligationBaseRent	Remaining Base Rent Obligation	False	The remaining base rent without tax from the next period to the last period of the current calendar year where the expense category is either "Rent" or "Lease Payment".	The remaining base rent without tax from the next period to the last period of the current calendar year where the expense category is either "Rent" or "Lease Payment".
			Contract.RemainingObligationTotalRent	Remaining Total Rent Obligation	False	The remaining total rent without tax from the next period to the last period of the current calendar year.	The remaining total rent without tax from the next period to the last period of the current calendar year.
			Contract.SixthYearBaseRent	Sixth Calendar Year Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year five years after the current year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year five years after the current year.
			Contract.SixthYearTotalRent	Sixth Calendar Year Total Rent	False	This is a reporting field. The total base rent without tax for the calendar year five years after the current year.	This is a reporting field. The total base rent without tax for the calendar year five years after the current year.
			Contract.ThirdYearBaseRent	Third Calendar Year Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year two years after the current year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the calendar year two years after the current year.
			Contract.ThirdYearTotalRent	Third Calendar Year Total Rent	False	This is a reporting field. The total base rent without tax for the calendar year two years after the current year.	This is a reporting field. The total base rent without tax for the calendar year two years after the current year.
		Financial - Calendar w/ Tax					
			Contract.AggregateBaseRentWithTax	Aggregate Base Rent w/ Tax	False	This is a reporting field. The total of base rent with tax where the expense category is either "Rent" or "Lease Payment" between the computed payment begin date and the likely payment end date.	This is a reporting field. The total of base rent with tax where the expense category is either "Rent" or "Lease Payment" between the computed payment begin date and the likely payment end date.
			Contract.AggregateTotalRentWithTax	Aggregate Total Rent w/ Tax	False	This is a reporting field. The total of base rent with tax for all expense categories between the computed payment begin date and the likely payment end date.	This is a reporting field. The total of base rent with tax for all expense categories between the computed payment begin date and the likely payment end date.
			Contract.BeyondFifthYearBaseRentWithTax	Beyond Fifth Calendar Year Base Rent w/ Tax	False	This is a reporting field. This field sums the total base rent with tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past four years after the current year.	This is a reporting field. This field sums the total base rent with tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past four years after the current year.
			Contract.BeyondFifthYearTotalRentWithTax	Beyond Fifth Calendar Year Total Rent w/ Tax	False	This is a reporting field. This field sums the total base rent with tax for each calendar year past four years after the current year.	This is a reporting field. This field sums the total base rent with tax for each calendar year past four years after the current year.
			Contract.BeyondSixthYearBaseRentWithTax	Beyond Sixth Calendar Year Base Rent w/ Tax	False	This is a reporting field. This field sums the total base rent with tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past five years after the current year.	This is a reporting field. This field sums the total base rent with tax where the expense category is either "Rent" or "Lease Payment" for each calendar year past five years after the current year.
			Contract.BeyondSixthYearTotalRentWithTax	Beyond Sixth Calendar Year Total Rent w/ Tax	False	This is a reporting field. This field sums the total base rent with tax for each calendar year past five years after the current year.	This is a reporting field. This field sums the total base rent with tax for each calendar year past five years after the current year.
			Contract.CurrentAnnualBaseRentWithTax	Current Annual Calendar Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the current calendar year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the current calendar year.
			Contract.CurrentAnnualTotalRentWithTax	Current Annual Calendar Total Rent w/ Tax	True	Calculates the sum of your annual recurring expenses plus any applicable taxes.	Calculates the sum of your annual recurring expenses plus any applicable taxes.
			Contract.CurrentCalendarYearQ1BaseRentWithTax	Current Calendar Q1 Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 1st quarter in the calendar year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 1st quarter in the calendar year.
			Contract.CurrentCalendarYearQ1TotalRentWithTax	Current Calendar Q1 Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the 1st Quarter in the calendar year.	This is a reporting field. The total base rent with tax for the 1st Quarter in the calendar year.
			Contract.CurrentCalendarYearQ2BaseRentWithTax	Current Calendar Q2 Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 2nd quarter in the calendar year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 2nd quarter in the calendar year.
			Contract.CurrentCalendarYearQ2TotalRentWithTax	Current Calendar Q2 Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the 2nd Quarter in the calendar year.	This is a reporting field. The total base rent with tax for the 2nd Quarter in the calendar year.
			Contract.CurrentCalendarYearQ3BaseRentWithTax	Current Calendar Q3 Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 3rd quarter in the calendar year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 3rd quarter in the calendar year.
			Contract.CurrentCalendarYearQ3TotalRentWithTax	Current Calendar Q3 Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the 3rd Quarter in the calendar year.	This is a reporting field. The total base rent with tax for the 3rd Quarter in the calendar year.
			Contract.CurrentCalendarYearQ4BaseRentWithTax	Current Calendar Q4 Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 4th quarter in the calendar year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the 4th quarter in the calendar year.
			Contract.CurrentCalendarYearQ4TotalRentWithTax	Current Calendar Q4 Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the 4th Quarter in the calendar year.	This is a reporting field. The total base rent with tax for the 4th Quarter in the calendar year.
			Contract.CurrentMonthlyBaseRentWithTax	Current Monthly Base Rent w/ Tax	False	The current monthly rent with taxes.	The current monthly rent with taxes.
			Contract.CurrentMonthlyTotalRentWithTax	Current Monthly Total Rent w/ Tax	True	Calculates the sum of your monthly recurring expenses plus any applicable taxes.	Calculates the sum of your monthly recurring expenses plus any applicable taxes.
			Contract.FifthYearBaseRentWithTax	Fifth Calendar Year Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year four years after the current year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year four years after the current year.
			Contract.FifthYearTotalRentWithTax	Fifth Calendar Year Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the calendar year four years after the current year.	This is a reporting field. The total base rent with tax for the calendar year four years after the current year.
			Contract.FourthYearBaseRentWithTax	Fourth Calendar Year Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year three years after the current year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year three years after the current year.
			Contract.FourthYearTotalRentWithTax	Fourth Calendar Year Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the calendar year three years after the current year.	This is a reporting field. The total base rent with tax for the calendar year three years after the current year.
			Contract.NextYearBaseRentWithTax	Next Calendar Year Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the next calendar year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the next calendar year.
			Contract.NextYearTotalRentWithTax	Next Calendar Year Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the next calendar year.	This is a reporting field. The total base rent with tax for the next calendar year.
			Contract.RemainingObligationBaseRentWithTax	Remaining Base Rent Obligation w/ Tax	False	The remaining base rent with tax from the next period to the last period of the current calendar year where the expense category is either "Rent" or "Lease Payment".	The remaining base rent with tax from the next period to the last period of the current calendar year where the expense category is either "Rent" or "Lease Payment".
			Contract.RemainingObligationTotalRentWithTax	Remaining Total Rent Obligation w/ Tax	False	The remaining total rent with tax from the next period to the last period of the current calendar year.	The remaining total rent with tax from the next period to the last period of the current calendar year.
			Contract.SixthYearBaseRentWithTax	Sixth Calendar Year Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year five years after the current year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year five years after the current year.
			Contract.SixthYearTotalRentWithTax	Sixth Calendar Year Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the calendar year five years after the current year.	This is a reporting field. The total base rent with tax for the calendar year five years after the current year.
			Contract.ThirdYearBaseRentWithTax	Third Calendar Year Base Rent w/ Tax	False	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year two years after the current year.	This is a reporting field. The total base rent with tax where the expense category is either "Rent" or "Lease Payment" for the calendar year two years after the current year.
			Contract.ThirdYearTotalRentWithTax	Third Calendar Year Total Rent w/ Tax	False	This is a reporting field. The total base rent with tax for the calendar year two years after the current year.	This is a reporting field. The total base rent with tax for the calendar year two years after the current year.
		Financial - Fiscal					
			Contract.BeyondFifthFiscalYearBaseRent	Beyond Fifth Fiscal Year Base Rent	False	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each fiscal year past four years after the current year.	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each fiscal year past four years after the current year.
			Contract.BeyondFifthFiscalYearTotalRent	Beyond Fifth Fiscal Year Total Rent	False	This is a reporting field. This field sums the total base rent without tax for each fiscal year past four years after the current year.	This is a reporting field. This field sums the total base rent without tax for each fiscal year past four years after the current year.
			Contract.BeyondSixthFiscalYearBaseRent	Beyond Sixth Fiscal Year Base Rent	False	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each fiscal year past five years after the current year.	This is a reporting field. This field sums the total base rent without tax where the expense category is either "Rent" or "Lease Payment" for each fiscal year past five years after the current year.
			Contract.BeyondSixthFiscalYearTotalRent	Beyond Sixth Fiscal Year Total Rent	False	This is a reporting field. This field sums the total base rent without tax for each fiscal year past five years after the current year.	This is a reporting field. This field sums the total base rent without tax for each fiscal year past five years after the current year.
			Contract.CurrentAnnualFiscalBaseRent	Current Annual Fiscal Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the current fiscal year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the current fiscal year.
			Contract.CurrentAnnualFiscalTotalRent	Current Annual Fiscal Total Rent	False	This is a reporting field. The total base rent without tax for the current fiscal year.	This is a reporting field. The total base rent without tax for the current fiscal year.
			Contract.CurrentFiscalYearQ1BaseRent	Current Fiscal Q1 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 1st Quarter in the fiscal year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 1st Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ1TotalRent	Current Fiscal Q1 Total Rent	False	This is a reporting field. The total base rent without tax for the 1st Quarter in the fiscal year.	This is a reporting field. The total base rent without tax for the 1st Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ2BaseRent	Current Fiscal Q2 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 2nd Quarter in the fiscal year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 2nd Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ2TotalRent	Current Fiscal Q2 Total Rent	False	This is a reporting field. The total base rent without tax for the 2nd Quarter in the fiscal year.	This is a reporting field. The total base rent without tax for the 2nd Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ3BaseRent	Current Fiscal Q3 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 3rd Quarter in the fiscal year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 3rd Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ3TotalRent	Current Fiscal Q3 Total Rent	False	This is a reporting field. The total base rent without tax for the 3rd Quarter in the fiscal year.	This is a reporting field. The total base rent without tax for the 3rd Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ4BaseRent	Current Fiscal Q4 Base Rent	False	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 4th Quarter in the fiscal year.	This is a reporting field. The total base rent without tax where the expense category is either "Rent" or "Lease Payment" for the 4th Quarter in the fiscal year.
			Contract.CurrentFiscalYearQ4TotalRent	Current Fiscal Q4 Total Rent	False	This is a reporting field. The total base rent without tax for the 4th Quarter in the fiscal year.	This is a reporting field. The total base rent without tax for the 4th Quarter in the fiscal year.
